timestamp,prodi,jenis_kelamin,umur,suku,kabupaten,provinsi,asal_sekolah,jurusan_sekolah,ipk,kondisi_ekonomi,pendidikan_ayah,pendidikan_ibu,pekerjaan_ayah,pekerjaan_ibu,pendapatan_ayah,pendapatan_ibu,topik_minat,media_belajar,target_memproses,target_menerima,target_menyerap,target_memahami,durasi_belajar,motivasi,motivasi_lainnya,jurusan_std,kabupaten_std,jenis_kelamin_enc,jurusan_sekolah_enc,kabupaten_enc,pendapatan_ayah_enc,pendapatan_ibu_enc,durasi_belajar_enc,ipk_enc,ipk_kategori,media_buku,media_slide,media_video,media_interaktif,media_platform,media_forum,media_coding
2026-07-02 14:48:17.176,Teknik Informatika,Laki - Laki,19,Bugis,Kota Makassar,Sulawesi Selatan,SMA Negeri 17 Makassar,IPA,3.73,Menengah,D4 / S1,SMA,Karyawan Swasta,Tidak bekerja / Pensiunan,Rp 5.000.000 - Rp 8.000.000 per bulan,Kurang dari Rp 2.000.000 per bulan,"Data dan Kecerdasan Buatan (Basis Data, Kecerdasan Buatan, Machine Learning, Data Mining)","Video pembelajaran (YouTube, e-learning, dll.), Website atau platform pembelajaran daring (Coursera, Udemy, Dicoding, dll.), Coding platform atau IDE (misalnya: repl.it, Jupyter, VS Code)",Active,Intuitive,Visual,Global,30 menit - 1 jam,Peningkatan keterampilan,-,IPA,Makassar,0,2,8,3,1,2,3.73,3.50–4.00,0,0,1,0,1,0,1
2026-07-02 14:41:29.616,Teknik Informatika,Laki - Laki,19,Bugis,Bone,Sulawesi Selatan,SMA Negri 22 Makassar,IPA,3.6,Menengah,D4 / S1,D4 / S1,Pegawai Negeri Sipil (PNS),Pegawai Negeri Sipil (PNS),Rp 5.000.000 - Rp 8.000.000 per bulan,Rp 5.000.000 - Rp 8.000.000 per bulan,"Pengembangan Perangkat Lunak (Pemrograman, Rekayasa Perangkat Lunak, Pengembangan Web & Aplikasi Mobile)","Video pembelajaran (YouTube, e-learning, dll.), Website atau platform pembelajaran daring (Coursera, Udemy, Dicoding, dll.)",Reflective,Intuitive,Visual,Global,1 - 2 jam,Tantangan akademis,-,IPA,Bone,0,2,0,3,3,3,3.6,3.50–4.00,0,0,1,0,1,0,0
2026-07-01 19:16:35.264,Teknik Informatika,Perempuan,22,Betawi,kepulauan seribu,Jakarta,SMA NEGERI 69 JAKARTA,IPA,3.8,Tinggi,S3,D4 / S1,Karyawan Swasta,Pedagang / Wiraswasta,Lebih dari Rp. 8.000.000 per bulan,Rp 5.000.000 - Rp 8.000.000 per bulan,"Sistem dan Jaringan Komputer (Jaringan Komputer, Sistem Operasi, Cloud Computing, Keamanan Siber)","Slide presentasi (PowerPoint) dari dosen, Video pembelajaran (YouTube, e-learning, dll.), Media interaktif (simulasi, animasi, aplikasi edukasi)",Reflective,Sensing,Verbal,Global,30 menit - 1 jam,Peningkatan keterampilan,nothing,IPA,Lainnya,1,2,5,4,3,2,3.8,3.50–4.00,0,1,1,1,0,0,0
2026-07-01 19:02:33.941,Teknik Informatika,Perempuan,20,Makassar ,Makassar ,sulsel,SMAS UMMUL MUKMININ ,IPA,3.94,Menengah,D4 / S1,D4 / S1,Tidak bekerja / Pensiunan,Pegawai Negeri Sipil (PNS),Rp 5.000.000 - Rp 8.000.000 per bulan,Rp 5.000.000 - Rp 8.000.000 per bulan,"Sistem dan Jaringan Komputer (Jaringan Komputer, Sistem Operasi, Cloud Computing, Keamanan Siber)","Slide presentasi (PowerPoint) dari dosen, Forum diskusi online atau grup belajar (WhatsApp, Telegram, LMS, dll.)",Active,Sensing,Visual,Sequential,30 menit - 1 jam,Tantangan akademis,.,IPA,Makassar,1,2,8,3,3,2,3.94,3.50–4.00,0,1,0,0,0,1,0
2026-07-01 17:29:37.762,Teknik Informatika,Laki - Laki,23,Jawa,Jepara,Jawa Tengah,Sman 14 gowa,IPA,3.96,Menengah,SMA,SMA,Pedagang / Wiraswasta,Pedagang / Wiraswasta,Lebih dari Rp. 8.000.000 per bulan,Lebih dari Rp. 8.000.000 per bulan,"Data dan Kecerdasan Buatan (Basis Data, Kecerdasan Buatan, Machine Learning, Data Mining)","Video pembelajaran (YouTube, e-learning, dll.), Coding platform atau IDE (misalnya: repl.it, Jupyter, VS Code)",Active,Sensing,Visual,Global,1 - 2 jam,Peningkatan keterampilan,-,IPA,Lainnya,0,2,5,4,4,3,3.96,3.50–4.00,0,0,1,0,0,0,1
2026-07-01 17:00:29.870,Teknik Informatika,Laki - Laki,21,Buton,Kambu,SULAWESI TENGGARA,SMA 2 kendari,IPA,3.3,Menengah,SMA,SMA,Karyawan Swasta,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000 per bulan,Rp 2.000.000 - Rp 5.000.000 per bulan,"Sistem dan Jaringan Komputer (Jaringan Komputer, Sistem Operasi, Cloud Computing, Keamanan Siber)","Video pembelajaran (YouTube, e-learning, dll.)",Active,Sensing,Visual,Sequential,30 menit - 1 jam,Other..,.,IPA,Lainnya,0,2,5,2,2,2,3.3,3.00–3.50,0,0,1,0,0,0,0
2026-07-01 15:53:07.705,Sistem Informasi,Laki - Laki,18,Kalisusu,Nabire,Papua Tengah,SMAN 1 KALISUSU,IPA,3.7,Menengah,SMA,SMA,Pedagang / Wiraswasta,Pedagang / Wiraswasta,Rp 2.000.000 - Rp 5.000.000 per bulan,Rp 2.000.000 - Rp 5.000.000 per bulan,"Data dan Kecerdasan Buatan (Basis Data, Kecerdasan Buatan, Machine Learning, Data Mining)",Slide presentasi (PowerPoint) dari dosen,Reflective,Sensing,Verbal,Global,1 - 2 jam,Penghargaan atau sertifikat,tidak ada,IPA,Lainnya,0,2,5,2,2,3,3.7,3.50–4.00,0,1,0,0,0,0,0
2026-07-01 15:46:57.338,Teknik Informatika,Perempuan,20,luwu,Baebunta,sulawesi selatan,SMAN 8 Luwu Utara,IPA,3 ke atas,Menengah,SMA,SMA,Pedagang / Wiraswasta,Tidak bekerja / Pensiunan,Lebih dari Rp. 8.000.000 per bulan,Kurang dari Rp 2.000.000 per bulan,"Pengembangan Perangkat Lunak (Pemrograman, Rekayasa Perangkat Lunak, Pengembangan Web & Aplikasi Mobile)","Media interaktif (simulasi, animasi, aplikasi edukasi), Forum diskusi online atau grup belajar (WhatsApp, Telegram, LMS, dll.), Coding platform atau IDE (misalnya: repl.it, Jupyter, VS Code)",Active,Sensing,Visual,Sequential,30 menit - 1 jam,Peningkatan keterampilan,lainnya,IPA,Lainnya,1,2,5,4,1,2,3.71,3.50–4.00,0,0,0,1,0,1,1
2026-07-01 15:41:46.380,Teknik Informatika,Laki - Laki,21,Bugis,Sidenreng Rappang,Sulawesi Selatan,SMAN 7 Sidrap,IPS,3.9,Menengah,SMA,SMP,Buruh / Petani / Nelayan,Tidak bekerja / Pensiunan,Rp 2.000.000 - Rp 5.000.000 per bulan,Kurang dari Rp 2.000.000 per bulan,"Sistem dan Jaringan Komputer (Jaringan Komputer, Sistem Operasi, Cloud Computing, Keamanan Siber)","Video pembelajaran (YouTube, e-learning, dll.), Media interaktif (simulasi, animasi, aplikasi edukasi), Forum diskusi online atau grup belajar (WhatsApp, Telegram, LMS, dll.)",Reflective,Sensing,Visual,Sequential,30 menit - 1 jam,Peningkatan keterampilan,-,IPS,Lainnya,0,3,5,2,1,2,3.9,3.50–4.00,0,0,1,1,0,1,0
2026-07-01 15:40:48.996,Teknik Informatika,Perempuan,21,Bugis,Enrekang,SULAWESI SELATAN,SMA 1 Enrekang,IPA,3.87,Menengah,SMP,D3,Buruh / Petani / Nelayan,Tidak bekerja / Pensiunan,Rp 2.000.000 - Rp 5.000.000 per bulan,Kurang dari Rp 2.000.000 per bulan,"Sistem dan Jaringan Komputer (Jaringan Komputer, Sistem Operasi, Cloud Computing, Keamanan Siber)","Buku teks atau modul cetak, Media interaktif (simulasi, animasi, aplikasi edukasi), Website atau platform pembelajaran daring (Coursera, Udemy, Dicoding, dll.)",Active,Sensing,Visual,Sequential,30 menit - 1 jam,Penghargaan atau sertifikat,-,IPA,Enrekang,1,2,1,2,1,2,3.87,3.50–4.00,1,0,0,1,1,0,0
